threshold,accuracy,precision,recall,f1
0.35,0.7589565559600275,0.5150351185250219,0.26934113865932047,0.3537081700331625
0.36,0.7616129530984272,0.5274712234484396,0.2551078971533517,0.3438938532358516
0.37,0.7635244346371699,0.538245434810369,0.24190771349862258,0.33379528806176995
0.38,0.7657451264248267,0.5522285083482821,0.2296831955922865,0.32442949211624983
0.39,0.7668835823412837,0.562258543833581,0.21717171717171718,0.31332284507741986
0.4,0.7684155785745408,0.5756510624700432,0.20678374655647383,0.30426888485411474
0.41000000000000003,0.7695961995249406,0.5883461868037704,0.19702708907254363,0.295197557934563
0.42000000000000004,0.7700178498643692,0.5984778169667718,0.18503213957759412,0.2826706413572399
0.43000000000000005,0.7705659953056262,0.6095617529880478,0.1756198347107438,0.27267866690429515
0.44000000000000006,0.7712265808373976,0.6224642323297032,0.1672979797979798,0.2637173745872348
0.45000000000000007,0.771845001335226,0.6366766123479458,0.1592056932966024,0.254717414260135
0.45999999999999996,0.7717747262786546,0.647219463753724,0.14962121212121213,0.24305426067499533
0.47,0.7724072017877974,0.6655014788921754,0.14204545454545456,0.2341200397294613
0.48,0.7726039719461975,0.6797574357493503,0.1351010101010101,0.22540336094221286
0.49,0.7724634218330546,0.6898247771288042,0.12878787878787878,0.21705276394061035
0.5,0.7725618069122545,0.7036065573770491,0.12316345270890726,0.2096317280453258
0.51,0.772336926731226,0.7146358543417367,0.11713728191000919,0.2012820512820513
0.52,0.7725055868669974,0.731142643764003,0.11237373737373738,0.1948064869167247
0.53,0.7720277164823117,0.7390786338363781,0.10680670339761249,0.1866412596529937
0.54,0.7719996064596832,0.7508347245409015,0.1032483930211203,0.18153380423814328
0.55,0.7716482311768261,0.760053026955369,0.09871441689623507,0.17473459643419514
0.56,0.7714233509957975,0.7721518987341772,0.09452479338842976,0.1684307409111827
0.5700000000000001,0.7712125258260832,0.7814341846758349,0.09131083562901744,0.16351490236382324
0.58,0.7712265808373976,0.7954662545079856,0.08861340679522497,0.15946294861864188
0.59,0.7711703607921404,0.805125467164976,0.08654729109274564,0.1562937244131212
0.6,0.7711844158034548,0.8209876543209876,0.08396464646464646,0.15234822451317298
0.61,0.7710579207016262,0.8293673824724318,0.08201331496786042,0.1492662035828067
0.62,0.7708752055545405,0.8371394230769231,0.07994719926538109,0.1459555741827326
0.63,0.7708611505432262,0.8500936914428482,0.07811065197428833,0.1430749014454665
0.64,0.770706545418769,0.8571428571428571,0.07644628099173553,0.14037306354726525
0.65,0.7704816652377405,0.8656417112299465,0.07432277318640955,0.136892177589852
0.66,0.7704113901811691,0.8732008224811515,0.07311753902662993,0.13493618598739607
0.67,0.7702286750340834,0.8783403656821378,0.07168273645546373,0.1325480208001698
0.6799999999999999,0.770158399977512,0.8883248730964467,0.07030532598714417,0.1302983566452162
0.69,0.770060014898312,0.8970149253731343,0.06898530762167125,0.12811767213813685
0.7,0.7697648596607121,0.8977879481311976,0.06755050505050506,0.12564718441419803
0.71,0.7695399794796834,0.9014855355746677,0.0661730945821855,0.1232957279580816
0.72,0.7693572643325978,0.9056,0.06496786042240588,0.12123808503802078
0.73,0.7692307692307693,0.9142621599340478,0.06364784205693297,0.11901057037076783
0.74,0.769019944061055,0.9216354344122658,0.06209825528007346,0.11635659748360039
0.75,0.768823173902655,0.9243478260869565,0.061007805325987145,0.11446107462043717
0.76,0.7685561286876836,0.9276139410187667,0.059573002754820935,0.11195599417569972
0.77,0.7682609734500836,0.9285714285714286,0.058195592286501376,0.10952689565780946
0.78,0.7680923133143123,0.9342105263157895,0.057047750229568414,0.1075292081350065
0.79,0.7679095981672265,0.9375600384245918,0.05601469237832874,0.10571351204982399
0.8,0.7676284979409408,0.9406528189910979,0.05457988980716254,0.103173311635476
